hostname;mainIp;cpu;ram;hd
ApiAppSPTrans;ApiAppSPTrans;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;99.99 GB
AppBil001;AppBil001;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;250.00 GB
AppBil002;AppBil002;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;250.00 GB
APPSIM01;10.10.30.32;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;22.0 GB;137.01 GB
APPSIM01A;APPSIM01A;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;240.82 GB
APPSIM02;APPSIM02;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;22.0 GB;166.51 GB
APPSIM02A;APPSIM02A;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;159.88 GB
ATENDE;ATENDE;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;9.8 GB;299.90 GB
AVLSIM01;AVLSIM01;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;36.0 GB;126.90 GB
AVLSIM011;AVLSIM011;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;36.0 GB;159.88 GB
AVLSIM012;AVLSIM012;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;36.0 GB;159.88 GB
AVLSIM02;AVLSIM02;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;31.9 GB;126.90 GB
AVLSIM03;AVLSIM03;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;34.0 GB;135.65 GB
BILFILE001;BILFILE001;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;1199.77 GB
BKPSTR101;BKPSTR101;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;4191.69 GB
BV1150547;BV1150547;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.47 GB
BV1150565;BV1150565;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
BV1150670;BV1150670;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.66 GB
BV1151318;BV1151318;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;447.13 GB
bv1151339;bv1151339;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
bv1151348;bv1151348;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;238.47 GB
BV1151360;BV1151360;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;704.13 GB
BV1151507;BV1151507;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;1169.99 GB
BV1151510;BV1151510;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
bv1151520;bv1151520;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;704.03 GB
BV1151524;BV1151524;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.57 GB
